application_id_eri,application_id,info_source,applicant_id_eri,applicant_id,application_status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_150,MISSING,Historic,App_372,188.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_151,CZL 43,Historic,App_373,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_152,CZL 149,Historic,App_374,None,,MISSING,2016-10-19 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_153,MISSING,Call,App_375,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_155,CZL 68,Historic,App_378,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_156,CZL 127,Historic,App_381,None,,MISSING,2016-10-18 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_158,CZL 8,Historic,App_392,362.0,Permit Awarded,Orange Walk,2015-03-03 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_159,MISSING,Historic,App_401,269.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_160,MISSING,Call,App_404,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_161,MISSING,Call,App_405,None,,MISSING,MISSING,MISSING,Yes,Officers approached her home and registered both birds there. She was told that they would provide her with a permit and two bands soon.,MISSING,MISSING,MISSING,MISSING,NA
Apply_162,MISSING,Historic,App_408,244.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_163,CZL 71,Historic,App_409,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_164,BMP 51,Historic,App_410,None,,MISSING,2014-12-31 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_165,MISSING,Historic,App_414,283.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_166,CZL 107,Historic,App_423,None,,MISSING,2016-09-28 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_167,MISSING,Call,App_424,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,U,NA
Apply_169,CZL 72,Historic,App_426,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_170,CZL 97,Historic,App_428,None,,MISSING,2016-06-30 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_171,CZL 19,Historic,App_429,None,,MISSING,2014-08-19 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_172,CZL 46,Call,App_431,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Not so great- was a big expense to make the cage FD required,NA
Apply_173,MISSING,Historic,App_433,88.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_174,BMP 85,Historic,App_437,None,,MISSING,2015-05-19 00:00:00,Yes,Yes,Closed,No,NA,NA,MISSING,NA
Apply_175,MISSING,Historic,App_440,349.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_176,CZL 22,Historic,App_443,None,,MISSING,2014-12-22 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_177,BMP 146,Historic,App_447,318.0,Permit Awarded,San Ignacio,2014-11-04 00:00:00,No,Yes,"One parrot died from dog attack, birds free, healthy diet; application approved",MISSING,MISSING,MISSING,MISSING,NA
Apply_178,CZL 114,Historic,App_452,None,,MISSING,2016-09-26 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_179,MISSING,Call,App_454,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_180,MISSING,Call,App_455,279.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,straighforward,NA
Apply_181,CZL 102,Historic,App_456,None,,MISSING,2016-08-22 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_184,MISSING,Call,App_471,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Not good because he did not have any follow up.,NA
Apply_185,MISSING,Historic,App_475,345.0,Permit Awarded,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_186,MISSING,Call,App_476,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,"Good, she felt better knowing she had registered the bird",NA
Apply_187,MISSING,Historic,App_480,139.0,,Orange Walk,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_188,MISSING,Call,App_482,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_189,MISSING,Call,App_483,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Two male Fd staff inspected home but he didn't get the birds banded.,NA
Apply_190,MISSING,Call,App_484,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Straightforward,NA
Apply_191,BMP 27,Historic,App_487,None,,MISSING,2014-12-23 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_192,CZL 31,Historic,App_491,None,,MISSING,2014-12-30 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_193,CZL 120,Historic,App_494,None,,MISSING,2016-09-29 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_195,CZL 48,Historic,App_501,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_196,MISSING,Historic,App_502,263.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_197,CZL 128,Call,App_504,None,,MISSING,2016-10-17 00:00:00,MISSING,No,MISSING,MISSING,MISSING,MISSING,Straighforward- they were friendly,NA
Apply_198,MISSING,Historic,App_510,300.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_199,CZL 7,Historic,App_511,None,,MISSING,2015-03-02 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_200,CZL 89,Historic,App_511,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_202,CZL 134,Historic,App_514,None,,MISSING,2016-10-20 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_203,MISSING,Call,App_520,82.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Good,NA
Apply_204,CZL 83,Historic,App_521,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_205,CZL 105,Historic,App_524,None,,MISSING,2016-09-26 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_206,MISSING,Call,App_525,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"They were asking who had parrots, someone said she had one and they visited her home. Parrot got registered there.",NA
Apply_207,MISSING,Call,App_530,None,,MISSING,MISSING,MISSING,No,MISSING,MISSING,MISSING,MISSING,Pretty good,NA
Apply_208,MISSING,Historic,App_533,160.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_209,CZL 123,Historic,App_534,None,,MISSING,2016-10-06 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_210,CZL 40,Historic,App_542,None,,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_211,MISSING,Historic,App_549,None,Permit Awarded,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,"He registered the parrot when it was small and was told he couldn't receive a permit due to the bird being too young, however, he had worked for forestry before and an arrangemenet was made.",NA
Apply_212,MISSING,Historic,App_550,240.0,Permit Awarded,San Ignacio,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_213,CZL 133,Historic,App_553,None,,MISSING,2016-10-12 00:00:00,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,NA
Apply_214,MISSING,Call,App_555,307.0,Permit Awarded,Belmopan,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Good- smooth process,NA
