applicant_id_eri,bird_id_eri,banded,band_number,permit_id,species_id,Type of parrot(provided by applicant),Sex,parrot_age_description,parrot_age_months,date_parrot_age_described,pet_name,period_of_ownership_months,period_of_ownership_years,obtain_by,town_obtained,district_obtain,enclosure_type,cage_location,cage_size_feet,shared_separate,Comments
App_1765,Bird_1960,,MISSING,MISSING,MISSING,MISSING,MISSING,1.0,12.0,Application,Woody,12.0,1.0,Found,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING ,"Transition from tree, cage, and indoors"
App_1765,Bird_1961,,MISSING,MISSING,MISSING,MISSING,MISSING,1.0,12.0,Application,Trouble,12.0,1.0,Found,MISSING,MISSING,Free/Caged,MISSING,MISSING,MISSING ,"Transition from tree, cage, and indoors"
App_1766,Bird_1962,,MISSING,MISSING,MISSING,MISSING,MISSING,8.0,96.0,Application,Chulola,MISSING,MISSING,Found,Belmopan,Cayo,Caged,MISSING,MISSING,NA,Found injured
App_1767,Bird_1963,,MISSING,MISSING,1.0,Red-lored Parrot,Male,1.0,12.0,Application,Lolito,12.0,1.0,Rescued,MISSING,MISSING,Free/Caged,MISSING,MISSING,NA,"Sleeps in cage at night, indoors  and outdoors during day"
App_1768,Bird_1964,,MISSING,MISSING,,,,,,Application,,,,,,,,,,,
App_1769,Bird_1965,,MISSING,MISSING,MISSING,Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,Pally,24.0,2.0,Gifted,MISSING,MISSING,Cage,MISSING,MISSING,NA,Parrot has its own house
App_1770,Bird_1966,,MISSING,MISSING,2.0,Yellow-headed Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,Pally,156.0,13.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1771,Bird_1967,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,3.0,36.0,Application,Meg,36.0,3.0,Bought,Guines-Grass ,Orange Walk,Cage,MISSING,MISSING,Shared,Bought to be rescued-rehabilitated (deydrated and sick)
App_1771,Bird_1968,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,3.0,36.0,Application,Judy,36.0,3.0,Bought,Guines-Grass,Orange Walk,Cage,MISSING,MISSING,Shared,Bought to be rescued-rehabilitated (deydrated and sick)
App_1771,Bird_1969,,MISSING,MISSING,2.0,Yellow-headed Parrot,MISSING,3.0,36.0,Application,G-G,36.0,3.0,Bought,Guines-Grass,Orange Walk,Cage,MISSING,MISSING,Shared,Bought to be rescued-rehabilitated (deydrated and sick)
App_1772,Bird_1970,,MISSING,MISSING,1.0,Red-lored Parrot,Male,18.0,216.0,Application,Lorenzo Antonio Novelo,216.0,18.0,Gifted,MISSING,MISSING,Cage,MISSING,MISSING,NA,Lives in a large wood and wire cage
App_1773,Bird_1971,,MISSING,MISSING,UNKNOWN,Parrot,MISSING,2.0,24.0,Application,MISSING,24.0,2.0,Gifted,MISSING,MISSING,Free,NA,NA,NA,
App_1774,Bird_1972,,MISSING,MISSING,MISSING,Parrot,Male,1.0,12.0,Application,Chad,12.0,1.0,Gifted,MISSING,MISSING,Free/Caged,Beside the shop,MISSING,NA,They were given parrot as previous owner did not know how to take care of him
App_1775,Bird_1973,,MISSING,MISSING,UNKNOWN,UNKNOWN,Male,MISSING,MISSING,Application,MISSING,6.0,0.0,Bought,MISSING,MISSING,Caged,MISSING,MISSING,NA,
App_1776,Bird_1974,,MISSING,MISSING,4.0,Mealy Parrot,MISSING,MISSING,MISSING,Application,Lorito,24.0,2.0,Taken from the wild,MISSING,MISSING,Caged,Indoors,4*4*8,NA,
App_1777,Bird_1975,,MISSING,MISSING,4.0,Mealy Parrot,MISSING,MISSING,MISSING,Application,Pinocks,24.0,2.0,Taken from the wild,MISSING,MISSING,Caged,Indoors,4*4*8,NA,
App_1778,Bird_1976,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,MISSING,MISSING,Application,Pauly,12.0,1.0,Gifted,MISSING,MISSING,Caged,MISSING,4*4*8,NA,
App_1779,Bird_1977,,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,MISSING,MISSING,Application,Pally,12.0,1.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1780,Bird_1978,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,MISSING,MISSING,Application,MISSING,15.0,1.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1781,Bird_1979,,MISSING,MISSING,UNKNOWN,Quati Mundi,Female,0.0,9.0,Application,MISSING,9.0,0.0,Found,MISSING,MISSING,MISSING,MISSING,MISSING,NA,It was abandonded by its pack
App_1782,Bird_1980,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,2.0,24.0,Application,Perri,24.0,12.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1783,Bird_1981,,MISSING,MISSING,1.0,Red-lored Parrot,MISSING,2.0,24.0,Application,Cotorito,24.0,12.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1784,Bird_1982,,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,3.0,36.0,Application,Paquito,36.0,3.0,Gifted,MISSING,MISSING,MISSING,MISSING,MISSING,NA,
App_1785,Bird_1983,,MISSING,MISSING,UNKNOWN,UNKNOWN,MISSING,1.0,12.0,Application,Pepito,12.0,1.0,Gifted,MISSING,MISSING,Caged,Veranda,MISSING,NA,
