eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
App_1686,Bird_1863,NULL,NULL,NULL,4.0,Mealy Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,NULL,NULL,Gifted,NULL,NULL,Undefined,NULL,NULL,NULL,Undefined- person did not specify which parrot is caged and which is free,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1687,Bird_1864,NULL,NULL,NULL,3.0,White-fronted Parrot,NULL,NULL,NULL,Application,NULL,24.0,12.0,Gifted,NULL,NULL,Cage,Room indoor,NULL,NULL,Previous owner did not want the parrot anymore,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1688,Bird_1865,NULL,NULL,NULL,NULL,Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,30.0,2.5,Rescued,NULL,NULL,Free,NULL,NULL,NULL,"Lives inside, taken oudoors",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1689,Bird_1866,NULL,NULL,NULL,2.0,Yellow-headed Parrot,NULL,5.0,60.0,Application,NULL,60.0,5.0,Gifted,NULL,NULL,Cage,NULL,NULL,NULL,Will spend time outdoors,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1690,Bird_1867,NULL,NULL,NULL,2.0,Yellow-headed Parrot,Male,1.0,12.0,Application,NULL,12.0,1.0,Rescued,2nd New Site,Stann Creek,Cage,Indoor,NULL,NULL,Fallen from tree on property,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1690,Bird_1868,NULL,NULL,NULL,2.0,Yellow-headed Parrot,Female,1.0,12.0,Application,NULL,12.0,1.0,Rescued,2nd New Site,Stann Creek,Cage,Indoor,NULL,NULL,Fallen from tree on property,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1691,Bird_1869,NULL,NULL,NULL,1.0,Red-lored Parrot,UNKNOWN,5.0,60.0,Application,NULL,36.0,3.0,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1692,Bird_1870,NULL,NULL,NULL,1.0,Red-lored Parrot,UNKNOWN,2.0,24.0,Application,NULL,24.0,2.0,Rescued,Orange Walk Town,Orange Walk,Cage,NULL,NULL,NULL,Rescued after falling from a nest on property,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1693,Bird_1871,NULL,NULL,NULL,NULL,Parrot,NULL,2.0,24.0,Application,NULL,24.0,2.0,Gifted,NULL,NULL,Free,NULL,NULL,NULL,Applied for permit for yellow-headed parrot she had,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1694,Bird_1872,NULL,NULL,NULL,2.0,Yellow-headed Parrot,NULL,4.0,48.0,Application,NULL,4.0,48.0,Bought,NULL,NULL,Cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1695,Bird_1873,NULL,NULL,NULL,3.0,White-fronted Parrot,UNKNOWN,2.0,24.0,Application,NULL,24.0,2.0,Taken from the wild,NULL,NULL,Cage,NULL,NULL,NULL,Bird fell out of a tree as a baby,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1696,Bird_1874,NULL,NULL,NULL,NULL,Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,12.0,1.0,Gifted,NULL,NULL,Cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1697,Bird_1875,NULL,NULL,NULL,NULL,Parrot,Male,1.0,12.0,Application,NULL,12.0,1.0,Taken from the wild,Camalote Village,Cayo,Cage,NULL,NULL,NULL,Bird was taken from owner's back yard from a cocnut tree,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1698,Bird_1876,NULL,NULL,NULL,NULL,Parrot,NULL,14.0,168.0,Application,NULL,168.0,14.0,Taken from the wild,Santa Marta Village,Orange Walk,Free,NULL,NULL,NULL,Outdoor enclosures,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1699,Bird_1877,NULL,NULL,NULL,NULL,Parrot,NULL,14.0,168.0,Application,NULL,168.0,14.0,Gifted,NULL,NULL,Cage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1700,Bird_1878,NULL,NULL,NULL,NULL,Parrot,UNKNOWN,UNKNOWN,UNKNOWN,Application,NULL,16.0,1.5,Gifted,NULL,NULL,Cage,Outside in yard,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
App_1701,Bird_1879,NULL,NULL,NULL,NULL,NULL,NULL,9.0,108.0,Application,NULL,108.0,9.0,Gifted,NULL,NULL,Cage,NULL,NULL,NULL,Will move parrot in bigger enclosure,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
