eri_bird_id,id,info_source,banded,applicant_id_eri,band_number,permit_id,eri_application_id,parrot_status,end_date,range,has_parrot,why_no_parrot,when_no_parrot,where_no_parrot,date_parrot_loss_info_provided,new_owner,new_owner_address,new_owner_contact,species_descrip_by_applicant,species_id,parrot_picture,period_of_ownership,period_of_ownership_months,date_period_provided,method_obtained,town_obtained,district_obtain,pet_name,sex,justification_sex_by_applicant,parrot_age_description,parrot_age_months,date_parrot_age_described,is_healthy,health_comments,health_comms_by_professional,stories,bird_comments
Bird_842,NULL,Call,false,App_948,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Flew away,1 year ago,396 Belama Phase 2,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_843,NULL,Historic,false,App_949,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Lelo,NULL,NULL,72.0,864,Application date,NULL,NULL,NULL,NULL,NULL
Bird_844,NULL,Call,false,App_950,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Sold,U,34 B Lindos Alley,Call date,U,A man that works or worked behind the Gas Station at Lindos Alley,U,NULL,15,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_845,NULL,Historic,false,App_951,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Sunshine,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_846,NULL,Historic,false,App_953,NULL,NULL,NULL,NULL,NULL,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Tura,NULL,NULL,1 yr,NULL,Application date,NULL,NULL,NULL,NULL,Outside
Bird_847,NULL,Historic,false,App_953,NULL,NULL,NULL,NULL,NULL,Toledo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Tura,Female,NULL,1 year,NULL,Application date,NULL,NULL,NULL,NULL,Arnolds Farm
Bird_848,NULL,Historic,false,App_956,NULL,NULL,Apply_363,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mealy Parrot,4,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_849,NULL,Historic,false,App_957,NULL,NULL,Apply_364,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Paco,NULL,NULL,Unknown,NULL,NULL,NULL,NULL,NULL,NULL,at my residence
Bird_850,NULL,Historic,false,App_958,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_851,NULL,Historic,false,App_959,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Linda,Female,NULL,5 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_852,117.0,Call,true,App_962,CWP FD 552,83,Apply_366,NULL,NULL,SanIg,false,Died,U,"New Area, Bullet Tree falls",Call date,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_853,NULL,Historic,false,App_963,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-crowned Parrot,7,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Toti,NULL,NULL,4.0,48,Application date,NULL,NULL,NULL,NULL,NULL
Bird_854,NULL,Historic,false,App_964,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Perico,Male,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Rescued from dog kennel- we just kept it
Bird_855,NULL,Call,NULL,App_965,NULL,NULL,Apply_367,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mealy Parrot,4,Yes,20.0,240,Call date,Gifted,Unknown,Unknown,Polly,Male,FD confirmed,20.0,240,Call date,true,NULL,Looks healthy,NULL,NULL
Bird_856,NULL,Historic,false,App_969,NULL,NULL,Apply_370,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_857,183.0,Call,NULL,App_970,GOB A 80,389,Apply_371,NULL,NULL,SanIg,false,Died,2024-06-01 00:00:00,Old Border Rd,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Pakito,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,"After Panchito flew away, Pakito got sad and died."
Bird_858,184.0,Call,NULL,App_970,GOB A 82,389,Apply_371,NULL,NULL,SanIg,false,Flew away,2024-06-01 00:00:00,Old Border Rd,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Panchito,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,NULL
Bird_859,105.0,Call,true,App_971,CWP FD 055,1,Apply_372,NULL,NULL,SanIg,false,Died,2024-09-11 00:00:00,San Ignacio,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Information received via whatsapp from Victoria Chi.
Bird_860,NULL,Historic,false,App_973,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Pancho,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,It was found in the middle of the road in the old Nother highway/ Maskall road as a baby and couldnâ€™t fly
Bird_861,NULL,Historic,false,App_973,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_862,NULL,Call,false,App_974,NULL,NULL,NULL,NULL,NULL,SanIg,false,Died,Several years ago,Santiago Juan Layout Pride Of Barbados,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Presious,NULL,NULL,48.0,576,Application date,NULL,NULL,NULL,NULL,NULL
Bird_863,NULL,Call,false,App_975,NULL,NULL,NULL,NULL,NULL,SanIg,false,Flew away,Several years ago,Santa Rosia,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Polly,NULL,NULL,4.0,48,Application date,NULL,NULL,NULL,NULL,NULL
Bird_864,NULL,Historic,false,App_977,NULL,NULL,NULL,NULL,NULL,Toledo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Rescued,NULL,NULL,Nene,NULL,NULL,3 years 6 months,NULL,Application date,NULL,NULL,NULL,NULL,Confisctated from pochers
Bird_865,NULL,Historic,true,App_979,GOB A 203,9,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_866,NULL,Historic,true,App_980,CWP FD 762,372,Apply_373,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Paulita,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,"Potentially another, 36 MO old band CWP FD 767"
Bird_867,NULL,Historic,false,App_981,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,"Bought, gifted",NULL,NULL,Twila,NULL,NULL,1 year 4 months; 2 Yrs 4mnths,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_868,NULL,Call,false,App_982,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Died,Several years ago,Burrell Boom Village,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Loronzo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_869,NULL,Historic,false,App_983,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Ben,NULL,NULL,24.0,288,Application date,NULL,NULL,NULL,NULL,NULL
Bird_870,NULL,Historic,false,App_983,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Bin,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_871,NULL,Historic,true,App_984,CWP FD 793,11,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_872,NULL,Historic,true,App_984,CWP FD 794,11,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_873,NULL,Historic,false,App_987,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,Bella Vista,Stann Creek,NULL,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_874,NULL,Historic,false,App_989,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Paulie,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_875,187.0,Historic,true,App_990,GOB A 087,392,Apply_377,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_876,NULL,Call,false,App_991,NULL,NULL,Apply_378,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,25.0,300,Call date,Bought,Unknown,Unknown,Pauline,Female,Layed eggs,25.0,300,Call date,true,NULL,Looks healthy,NULL,Applicant reported have a permit; Permit was lost by applicant
Bird_877,NULL,Call,false,App_992,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Flew away,4 years ago,5 King St,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Percy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_878,NULL,Historic,false,App_993,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_879,NULL,Call,false,App_994,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Died,2023.0,Nargustar St,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Found,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_880,NULL,Historic,false,App_995,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_881,NULL,Historic,false,App_996,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,120.0,1440,Application date,NULL,NULL,NULL,NULL,NULL
Bird_882,NULL,Historic,false,App_997,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Paula,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_883,NULL,Historic,false,App_997,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_884,NULL,Historic,false,App_997,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_885,NULL,Historic,false,App_999,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,died
Bird_886,NULL,Historic,false,App_1001,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_887,NULL,Historic,false,App_1002,NULL,NULL,Apply_379,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,1 year,NULL,Application date,NULL,NULL,NULL,NULL,Around the house in the jungle he is quite free except for night in his chamber a home made cage
Bird_888,NULL,Historic,false,App_1004,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,1O YRS,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_889,266.0,Historic,true,App_1005,384.0,461,Apply_380,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_890,NULL,Historic,false,App_1006,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Ming Ming,NULL,NULL,3 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_891,NULL,Historic,false,App_1006,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Rico,NULL,NULL,1 year,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_892,NULL,Historic,false,App_1007,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Confiscated (26/2/15); potentially 2 birds
Bird_893,NULL,Call,true,App_1008,274.0,253,Apply_381,NULL,NULL,Toledo,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,15.0,180,Call date,Bought,Unknown,Unknown,Jerry,Unknown,NULL,15.0,180,Call date,true,NULL,Hard to tell from picture,NULL,NULL
Bird_894,NULL,Call,true,App_1008,275.0,254,Apply_381,NULL,NULL,Toledo,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,Yes,15.0,180,Call date,Bought,Unknown,Unknown,Jasmine,Unknown,NULL,15.0,180,Call date,true,NULL,Hard to tell from picture,NULL,NULL
Bird_895,NULL,Historic,false,App_1009,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_896,144.0,Call,true,App_1010,CWP FD 773,353,Apply_382,NULL,NULL,SanIg,false,Flew away,2023.0,Pun Ave.,Call date,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Changed from 0352 to 0353
Bird_897,NULL,Historic,false,App_1012,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Mealy Parrot,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_898,NULL,Call,false,App_1013,NULL,NULL,NULL,NULL,NULL,Orange Walk,false,Died,Several years ago,Corozal Town,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Eago,NULL,NULL,12 years,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_899,NULL,Historic,false,App_1014,NULL,NULL,Apply_383,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_900,NULL,Historic,false,App_1014,NULL,NULL,Apply_383,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Olive-throated Parakeet,5,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_901,NULL,Call,false,App_1016,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Flew away,Several years ago,Ladyville,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Hunter,Female,NULL,1 Year,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_902,NULL,Historic,false,App_1017,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Blue,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_903,NULL,Call,false,App_1018,NULL,NULL,Apply_384,NULL,NULL,SanIg,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,2024-12-14 00:00:00,156,Call date,Gifted,Unknown,Unknown,Pardita,Female,Assumption,13-15,168,Call date,true,NULL,NULL,NULL,NULL
Bird_904,NULL,Historic,true,App_1019,CWP FD 701,478,Apply_385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_905,NULL,Historic,false,App_1020,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,60.0,720,Application date,NULL,NULL,NULL,NULL,NULL
Bird_906,NULL,Historic,false,App_1020,NULL,NULL,NULL,NULL,NULL,SanIg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,60.0,720,Application date,NULL,NULL,NULL,NULL,NULL
Bird_907,NULL,Historic,false,App_1021,NULL,NULL,Apply_386,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,Paquito,NULL,NULL,8 MONTHS,NULL,Application date,NULL,NULL,NULL,NULL,NULL
Bird_908,NULL,Call,false,App_1024,NULL,NULL,NULL,NULL,NULL,Savannah,false,Died,Several years ago,Pamona,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Zorrie,NULL,NULL,6 mon,NULL,Application date,NULL,NULL,NULL,NULL,Died due to a flu
Bird_909,NULL,Call,false,App_1024,NULL,NULL,NULL,NULL,NULL,Savannah,false,Died,Several years ago,Pamona,Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Orlie,NULL,NULL,6 mon,NULL,Application date,NULL,NULL,NULL,NULL,Died due to a flu
Bird_910,NULL,Call,true,App_1028,GOB A 079,388,Apply_389,NULL,NULL,SanIg,false,Confiscated,Several years ago,Benque Viejo,Call date,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,Bought,NULL,NULL,Paulie,NULL,NULL,12.0,144,Application date,NULL,NULL,NULL,NULL,NULL
Bird_911,NULL,Historic,false,App_1035,NULL,NULL,Apply_392,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,White-fronted Parrot,3,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_912,NULL,Historic,false,App_1037,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_913,NULL,Historic,false,App_1038,NULL,NULL,NULL,NULL,NULL,Toledo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Bought,NULL,NULL,NULL,Male,NULL,9 years,NULL,Application date,NULL,NULL,NULL,NULL,Trio Village
Bird_914,NULL,Call,false,App_1041,NULL,NULL,Apply_395,NULL,NULL,Belmopan,true,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,40.0,480,Call date,Bought,Unknown,Unknown,Polly,Unknown,NULL,40.0,480,Call date,true,NULL,NULL,NULL,NULL
Bird_915,NULL,Historic,false,App_1044,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_916,NULL,Historic,false,App_1044,NULL,NULL,NULL,NULL,NULL,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_917,NULL,Call,true,App_1045,CWP FD 179,409,NULL,NULL,NULL,Belmopan,false,Flew away,Several years ago,"Zultuna, Las Flores",Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Abuelo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,In a cage
Bird_918,NULL,Call,false,App_1045,NULL,NULL,NULL,NULL,NULL,Belmopan,false,Confiscated,Several years ago,"Zultuna, Las Flores",Call date,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,Abuelo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,In a cage
Bird_919,NULL,Historic,false,App_1046,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Found and well
Bird_920,NULL,Historic,false,App_1046,NULL,NULL,NULL,NULL,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yellow-headed Parrot,2,NULL,NULL,NULL,NULL,Gifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Found and well
Bird_921,213.0,Historic,true,App_1048,CWP FD 241,212,Apply_397,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Red-lored Parrot,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lola Nahera,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bird_922,NULL,Historic,false,App_1050,NULL,NULL,NULL,NULL,NULL,Savannah,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Unknown Parrot,14,NULL,NULL,NULL,NULL,Taken from the Wild,NULL,NULL,NULL,NULL,NULL,4 years,NULL,Application date,NULL,NULL,NULL,NULL,in  a 9*9 cage at 37 front street Dangriga
