eri_application_id,application_id,info_source,applicant_id_eri,applicant_id,status,range,application_date,application_signed,followup_done,followup_details,applied_previously,applied_previously_date,previously_approved,application_experience,application_comments
Apply_156,CZL 127,Historic,App_381,NULL,NULL,NULL,2016-10-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_158,CZL 8,Historic,App_392,362,Permit Awarded,Orange Walk,2015-03-03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_159,NULL,Historic,App_401,269,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_160,NULL,Call,App_404,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Good,NULL
Apply_161,NULL,Call,App_405,NULL,NULL,NULL,NULL,NULL,true,Officers approached her home and registered both birds there. She was told that they would provide her with a permit and two bands soon.,NULL,NULL,NULL,NULL,NULL
Apply_162,NULL,Historic,App_408,244,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_163,CZL 71,Historic,App_409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_164,BMP 51,Historic,App_410,NULL,NULL,NULL,2014-12-31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_165,NULL,Historic,App_414,283,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_166,CZL 107,Historic,App_423,NULL,NULL,NULL,2016-09-28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_167,NULL,Call,App_424,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,U,NULL
Apply_169,CZL 72,Historic,App_426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_170,CZL 97,Historic,App_428,NULL,NULL,NULL,2016-06-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_171,CZL 19,Historic,App_429,NULL,NULL,NULL,2014-08-19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_172,CZL 46,Call,App_431,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Not so great- was a big expense to make the cage FD required,NULL
Apply_173,NULL,Historic,App_433,88,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_174,BMP 85,Historic,App_437,NULL,NULL,NULL,2015-05-19,true,true,Closed,false,NULL,NULL,NULL,NULL
Apply_175,NULL,Historic,App_440,349,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_176,CZL 22,Historic,App_443,NULL,NULL,NULL,2014-12-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_177,BMP 146,Historic,App_447,318,Permit Awarded,San Ignacio,2014-11-04,false,true,"One parrot died from dog attack, birds free, healthy diet; application approved",NULL,NULL,NULL,NULL,NULL
Apply_178,CZL 114,Historic,App_452,NULL,NULL,NULL,2016-09-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_179,NULL,Call,App_454,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Good,NULL
Apply_180,NULL,Call,App_455,279,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,straighforward,NULL
Apply_181,CZL 102,Historic,App_456,NULL,NULL,NULL,2016-08-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_184,NULL,Call,App_471,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Not good because he did not have any follow up.,NULL
Apply_185,NULL,Historic,App_475,345,Permit Awarded,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_186,NULL,Call,App_476,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,"Good, she felt better knowing she had registered the bird",NULL
Apply_187,NULL,Historic,App_480,139,NULL,Orange Walk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_188,NULL,Call,App_482,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,NULL,NULL
Apply_189,NULL,Call,App_483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Two male Fd staff inspected home but he didn't get the birds banded.,NULL
Apply_190,NULL,Call,App_484,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Straightforward,NULL
Apply_191,BMP 27,Historic,App_487,NULL,NULL,NULL,2014-12-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_192,CZL 31,Historic,App_491,NULL,NULL,NULL,2014-12-30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_193,CZL 120,Historic,App_494,NULL,NULL,NULL,2016-09-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_195,CZL 48,Historic,App_501,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_196,NULL,Historic,App_502,263,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_197,CZL 128,Call,App_504,NULL,NULL,NULL,2016-10-17,NULL,false,NULL,NULL,NULL,NULL,Straighforward- they were friendly,NULL
Apply_198,NULL,Historic,App_510,300,Permit Awarded,Belmopan,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_199,CZL 7,Historic,App_511,NULL,NULL,NULL,2015-03-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_200,CZL 89,Historic,App_511,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_202,CZL 134,Historic,App_514,NULL,NULL,NULL,2016-10-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_203,NULL,Call,App_520,82,Permit Awarded,San Ignacio,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Good,NULL
Apply_204,CZL 83,Historic,App_521,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_205,CZL 105,Historic,App_524,NULL,NULL,NULL,2016-09-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apply_206,NULL,Call,App_525,NULL,Permit Awarded,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"They were asking who had parrots, someone said she had one and they visited her home. Parrot got registered there.",NULL
Apply_207,NULL,Call,App_530,NULL,NULL,NULL,NULL,NULL,false,NULL,NULL,NULL,NULL,Pretty good,NULL
