permit_number,id,info_source,applicant_id_eri,applicant_id,status,picture_url,range,reference_number,issue_date,housing,number_of_pets,permit_comments
80,123,2024 FD Database,App_793,216,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Active,1,
81,124,2024 FD Database,App_282,217,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Active,1,
82,125,2024 FD Database,App_166,218,,,San Ignacio,,2016-02-23,Active,1,
82,125,"2024 FD Database, Historic",App_797,,Active,,San Ignacio,FD/GEN/42/3/14,,,1,
83,126,2024 FD Database,App_962,219,Active,,San Ignacio,FD/GEN42/3/14,2016-02-23,Active,1,
84,127,2024 FD Database,App_173,220,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Active,2,
85,128,2024 FD Database,App_758,221,Processing,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Processing,1,
86,129,2024 FD Database,App_1128,222,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Active,1,
87,130,2024 FD Database,App_291,223,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Active,2,
88,131,2024 FD Database,App_833,224,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-23,Active,1,
89,132,2024 FD Database,App_1227,225,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-03,Active,1,
90,133,2024 FD Database,App_154,226,Active,,San Ignacio,FD/GEN/42/3/14,2016-02-03,Active,3,
91,134,2024 FD Database,App_670,227,Active,,San Ignacio,FD/GEN/ 42/3/14,2016-09-03,Active,1,
92,135,2024 FD Database,App_1125,228,Active,,San Ignacio,FD/GEN/42/3/14,2016-04-13,Active,2,
93,136,2024 FD Database,App_1309,229,Active,,San Ignacio,FD/GEN/42/3/14,2016-04-13,Active,2,
94,137,"2024 FD Database, Historic",App_568,230,Active,,San Ignacio,FD/GEN/42/3/14,2016-04-13,,2,
95,138,2024 FD Database,App_1096,231,Active,,San Ignacio,FD/GEN/42/3/14,2016-04-20,Active,1,
96,139,2024 FD Database,App_280,232,Active,,San Ignacio,FD/GEN/42/3/14,2016-01-06,Active,2,
97,140,2024 FD Database,App_878,233,Active,,San Ignacio,FD/GEN/42/3/14,2016-01-06,Active,1,
98,141,2024 FD Database,App_1214,234,Active,,San Ignacio,FD/GEN/42/3/14,2016-01-06,Active,1,
99,142,2024 FD Database,App_1310,235,Active,,San Ignacio,FD/GEN/42/3/14,2016-01-06,Active,1,
100,143,2024 FD Database,App_795,236,Active,,San Ignacio,FD/GEN/42/3/14,2016-01-06,Active,1,
108,,Historic,App_1410,,,,,,,,1,
109,,Historic,App_1411,,,,,,,,1,
110,,Historic,App_1412,,,,,,,,1,
112,,Historic,App_1414,,,,,,,,1,
113,,Historic,App_1415,,,,,,,,1,
